Director,Genre,Year,Runtime,Budget,Gross,ROI,Stars,Awards,Num_Rating,Sequel,Book,Rating
Frank Darabont,Crime,1994,142,25.00000,58.50000,2.34000,2,19,1868108,0,1,9.2
Francis Ford Coppola,Crime,1972,175,6.00000,245.00000,40.83000,5,27,1275416,0,1,9.2
Francis Ford Coppola,Crime,1974,202,13.00000,102.60000,7.89000,4,17,879235,1,1,9
Christopher Nolan,Action,2008,152,185.00000,1001.90000,5.42000,7,153,1845338,1,1,9
Sidney Lumet,Crime,1957,96,0.35000,2.00000,5.71000,1,16,510958,0,1,8.9
Steven Spielberg,History,1993,185,22.00000,221.00000,10.05000,3,85,959759,0,1,8.9
Quentin Tarantino,Crime,1994,154,8.00000,213.90000,26.74000,6,61,1461782,0,0,8.9
Peter Jackson,Fantasy,2003,201,94.00000,1119.89950,11.91000,8,207,1336170,1,1,8.9
Sergio Leone,Western,1966,161,1.20000,6.10000,5.08000,2,1,553781,1,0,8.8
David Fincher,Drama,1999,139,63.00000,100.90000,1.60000,6,11,1497331,0,1,8.8
Peter Jackson,Fantasy,2001,178,93.00000,860.70000,9.25000,8,116,1356539,0,1,8.8
Robert Zemeckis,Drama,1994,142,55.00000,677.90000,12.33000,4,45,1408316,0,1,8.7
George Lucas,Action,1980,124,18.00000,247.90000,13.77000,5,22,932350,1,0,8.7
Christopher Nolan,Action,2010,148,160.00000,817.00000,5.11000,7,156,1635015,0,0,8.7
Peter Jackson,Fantasy,2002,179,94.00000,921.60000,9.80000,8,119,1210019,1,1,8.7
Milos Forman,Drama,1975,133,4.40000,112.00000,25.45000,3,35,746331,0,1,8.7
Martin Scorsese,Crime,1990,146,25.00000,46.80000,1.87000,3,38,805321,0,1,8.7
Wachowski Brothers,Sci-Fi,1999,136,63.00000,463.50000,7.36000,4,38,1334315,0,0,8.7
Akira Kurosawa,Adventure,1954,207,2.00000,0.26900,0.13000,0,5,251941,0,0,8.6
George Lucas,Action,1977,121,11.00000,797.90000,72.54000,6,56,1004768,0,0,8.6
Fernando Meirelles,Crime,2002,130,3.30000,18.00000,5.45000,0,70,582138,0,1,8.6
David Fincher,Crime,1995,127,33.00000,327.30000,9.92000,5,25,1139136,0,0,8.6
Johnathan Demme,Crime,1991,118,19.00000,272.70000,14.35000,2,54,994105,1,1,8.6
Frank Capra,Drama,1946,130,3.10000,7.20000,2.32000,2,6,308472,0,0,8.6
Roberto Bengini,Drama,1997,116,20.00000,228.90000,11.45000,0,69,478154,0,0,8.6
Bryan Singer,Crime,1995,106,6.00000,34.40000,5.73000,7,34,817230,0,0,8.6
Luc Besson,Crime,1994,110,16.00000,45.50000,2.84000,3,5,809616,0,0,8.6
Steven Spielberg,War,1998,169,70.00000,479.30000,6.85000,6,79,982618,0,0,8.6
Hayao Miyazaki,Animation,2001,125,19.00000,274.89992,14.47000,2,57,478480,0,0,8.6
Tony Kaye,Crime,1998,119,7.50000,23.90000,3.19000,2,5,860362,0,0,8.5
Sergio Leone,Western,1968,164,5.00000,5.30000,1.06000,2,4,240086,0,0,8.6
Christopher Nolan,Sci-Fi,2014,169,165.00000,675.00000,4.09000,9,44,1101566,0,0,8.6
Alfred Hitchcock,Thriller,1960,109,0.81000,32.00000,39.51000,2,5,471006,0,0,8.5
Frank Darabont,Drama,1999,189,60.00000,286.80000,4.78000,4,15,883603,0,1,8.5
Michael Curtiz,Drama,1942,102,0.95000,1.60000,1.68000,3,8,425364,0,1,8.5
Charles Chaplin,Comedy,1931,87,1.50000,5.00000,3.33000,1,3,123933,0,0,8.6
Olivier Nakache,Comedy,2011,112,10.80000,444.80000,41.19000,0,35,582014,0,0,8.6
Charles Chaplin,Comedy,1936,87,1.50000,1.40000,0.93000,1,4,162965,0,0,8.5
Steven Spielberg,Adventure,1981,115,18.00000,389.90000,21.66000,1,34,725894,0,0,8.5
Roman Polanski,Drama,2002,150,35.00000,120.10000,3.43000,1,55,560710,0,0,8.5
Martin Scorsese,Crime,2006,151,90.00000,289.80000,3.22000,7,96,965493,0,0,8.5
Alfred Hitchcock,Thriller,1954,112,1.00000,36.79999,36.80000,2,6,351353,0,0,8.5
James Cameron,Sci-Fi,1991,137,102.00000,519.79985,5.10000,3,27,816363,1,0,8.5
Robert Zemeckis,Sci-Fi,1985,116,19.00000,381.10000,20.06000,4,20,819777,0,0,8.5
Damien Chazelle,Drama,2014,107,3.30000,48.90000,14.82000,2,92,507135,0,0,8.5
Ridley Scott,Action,2000,155,103.00000,456.20000,4.43000,3,58,1084643,0,0,8.5
Christopher Nolan,Mystery,2006,130,40.00000,97.20000,2.43000,6,5,947435,0,0,8.5
Roger Allers,Animation,1994,88,45.00000,951.60000,21.15000,9,35,726085,0,0,8.5
Christopher Nolan,Thriller,2000,113,9.00000,39.69998,4.41000,2,55,932581,0,0,8.5
Francis Ford Coppola,War,1979,147,31.50000,83.50000,2.65000,5,20,492958,0,1,8.5
Denis Villeneuve,Sci-Fi,2017,164,150.00000,81.89997,0.55000,6,2,114960,1,0,8.5
Ridley Scott,Horror,1979,117,11.00000,203.60000,18.51000,2,17,635954,0,0,8.5
Charles Chaplin,Comedy,1940,125,2.00000,5.00000,2.50000,1,6,155809,0,0,8.5
Billy Wilder,Drama,1950,110,1.80000,5.00000,2.78000,3,18,155618,0,0,8.5
Stanley Kubrick,Comedy,1964,95,1.80000,9.40000,5.22000,2,13,375469,0,0,8.5
Giuseppe Tornatore,Drama,1988,155,5.00000,11.90000,2.38000,0,24,172354,0,0,8.5
Florian Henckel von Donnersmarck,Thriller,2006,137,2.00000,25.90000,12.95000,0,76,286816,0,0,8.5
Isao Takahata,Drama,1988,89,3.70000,25.20000,6.81000,0,3,161815,0,1,8.5
Stanley Kubrick,War,1957,88,0.94000,2.10000,2.23000,0,4,135490,0,1,8.5
Quentin Tarantino,Western,2012,165,100.00000,425.40000,4.25000,6,58,1074926,0,0,8.4
Stanley Kubrick,Horror,1980,144,19.00000,44.00000,2.32000,2,3,683199,0,1,8.4
Andrew Stanton,Animation,2008,98,180.00000,532.50000,2.96000,5,90,802748,0,0,8.4
Sam Mendes,Drama,1999,122,15.00000,226.20000,15.08000,7,108,902669,0,0,8.4
Christopher Nolan,Action,2012,164,250.00000,1084.89950,4.34000,9,38,1257474,1,1,8.4
Hayao Miyazaki,Animation,1997,134,23.50000,159.40000,6.78000,7,13,253596,0,0,8.4
Chan-wook Park,Mystery,2003,120,3.00000,14.30000,4.77000,0,38,402143,0,1,8.4
James Cameron,Sci-Fi,1986,137,18.50000,131.00000,7.08000,2,20,542144,1,0,8.4
Billy Wilder,Crime,1957,116,3.00000,9.00000,3.00000,0,3,74417,0,1,8.4
Sergio Leone,Crime,1984,229,30.00000,5.30000,0.18000,4,11,244768,0,1,8.4
Wolfgang Peterson,Adventure,1981,149,14.00000,73.50000,5.25000,0,13,185094,0,1,8.4
Orson Welles,Drama,1941,119,0.84000,1.60000,1.90000,1,10,72636,0,0,8.4
Nitesh Tiwari,Drama,2016,161,1.08000,310.00000,287.04000,0,4,326113,0,0,8.6
Alfred Hitchcock,Thriller,1958,128,2.50000,3.20000,1.28000,1,8,279379,0,1,8.4
Alfred Hitchcock,Adventure,1959,136,3.10000,22.20000,7.16000,2,8,241287,0,0,8.4
George Lucas,Action,1983,131,32.50000,572.69975,17.62000,7,20,764485,1,0,8.4
Mel Gibson,History,1995,178,72.00000,204.00000,2.83000,1,31,809820,0,0,8.4
Quentin Tarantino,Crime,1992,99,1.20000,22.00000,18.33000,4,10,737953,0,0,8.3
Fritz Lang,Crime,1931,117,0.00100,0.02800,28.00000,0,2,110476,0,0,8.4
Darren Aronofsky,Drama,2000,102,4.50000,3.60000,0.80000,4,33,632371,0,1,8.3
Jean-Pierre Jeunet,Comedy,2001,122,10.00000,173.90000,17.39000,0,58,588835,0,0,8.4
Aamir Khan,Drama,2007,165,1.86000,1.20000,0.65000,0,14,110666,0,0,8.5
Stanley Kubrick,Drama,1971,136,2.20000,26.60000,12.09000,1,9,617209,0,1,8.3
David Lean,Adventure,1962,216,15.00000,77.30000,5.15000,3,30,213439,0,1,8.3
Makato Shinaki,Animation,2016,106,5.00000,355.30000,71.06000,0,10,57268,0,1,8.5
Billy Wilder,Crime,1944,107,0.93000,5.70000,6.13000,0,2,109638,0,1,8.3
Milos Forman,History,1984,160,18.00000,51.90000,2.88000,2,41,299917,0,1,8.3
Martin Scorsese,Crime,1976,113,1.30000,28.20000,21.69000,5,21,565190,0,0,8.3
Michael Gondry,Drama,2004,108,20.00000,73.09998,3.65000,6,71,738625,0,0,8.3
Christopher Nolan,History,2017,106,100.00000,519.79985,5.20000,5,1,227802,0,0,8.4
Robert Mulligan,Drama,1962,129,2.00000,13.10000,6.55000,1,13,240027,0,1,8.3
Stanley Kubrick,War,1987,116,30.00000,46.40000,1.55000,3,7,539798,0,1,8.3
Stanley Kubrick,Sci-Fi,1968,149,12.00000,190.70000,15.89000,0,14,476321,0,1,8.3
Stanley Donen,Comedy,1952,103,2.50000,13.90000,5.56000,2,5,170517,0,1,8.3
Lee Unkrich,Animation,2010,103,200.00000,1062.89950,5.31000,14,60,605485,1,0,8.3
John Lasseter,Animation,1995,81,30.00000,373.50000,12.45000,7,23,696601,0,0,8.3
George Roy Hill,Crime,1973,129,5.50000,159.60000,29.02000,2,17,194250,0,0,8.3
Vittorio De Sica,Drama,1948,89,0.13300,0.33200,2.50000,0,18,107403,0,0,8.3
Rajkumar Hirani,Comedy,2009,170,0.85000,76.50000,90.00000,0,25,252246,0,0,8.4
Quentin Tarantino,War,2009,153,75.00000,313.59988,4.18000,7,130,992413,0,0,8.3
Charles Chaplin,Comedy,1921,68,0.25000,5.50000,22.00000,1,1,79412,0,0,8.3
Celal Cimen,Mystery,2015,114,0.00100,0.00000,0.00000,0,0,25463,0,0,1.4
Darren Doane,Comedy,2015,79,0.50000,2.80000,5.60000,1,4,13099,0,0,1.5
Bob Clark,Comedy,2004,88,20.00000,9.10000,0.46000,2,0,26847,1,0,1.6
Ulli Lommel,Crime,2004,81,0.00100,0.00000,0.00000,0,0,13414,0,0,1.6
Harold P. Warren,Horror,1966,70,0.01900,0.00000,0.00000,0,0,32133,0,0,1.7
William Heins,Comedy,2006,91,8.30000,1.60000,0.19000,2,0,15956,0,0,1.7
Kartal Tibet,Sci-Fi,2006,110,5.00000,0.00000,0.00000,0,0,14363,0,0,1.8
Lawrence Kasanoff,Animation,2012,91,65.00000,0.07300,0.00000,10,0,6284,0,0,1.8
James Nguyen,Horror,2010,105,0.01000,0.00000,0.00000,0,0,16604,0,0,1.8
Gabor Forgacs,Comedy,2009,36,3.50000,0.00000,0.00000,0,0,8607,0,0,1.8
Camillo Teti,Animation,2000,72,0.00100,0.00000,0.00000,0,0,8534,1,0,1.8
Ulli Lommel,Horror,2004,81,0.00150,0.00000,0.00000,0,0,7769,0,0,1.9
Jason Friedberg,Comedy,2008,87,20.00000,34.80000,1.74000,4,1,78247,0,0,1.9
Tayfun guneyer,Comedy,2006,105,0.00100,1.30000,1300.00000,0,0,8668,0,0,1.9
Tom Putnam,Comedy,2008,91,9.00000,1.60000,0.18000,1,4,34267,0,0,1.9
Gyorgy Gat,Animation,2008,85,5.89000,5.00000,0.85000,1,0,8023,0,0,1.9
Ram Gopal Varma,Adventure,2007,171,0.00100,0.00000,0.00000,0,0,6085,0,0,1.9
Robert Iscove,Musical,2003,81,12.00000,4.90000,0.41000,1,3,23998,0,0,1.9
Brett Kelly,Horror,2012,75,0.00100,0.00000,0.00000,0,0,3154,0,0,1.9
Michael David Pate,Horror,2015,81,1.18000,0.00000,0.00000,0,0,5951,0,0,1.9
Taner Akvardar,Adventure,2007,100,0.20000,0.00000,0.00000,0,0,11073,0,0,1.9
Valerie Breiman,Comedy,1989,99,0.20000,0.00000,0.00000,3,0,6467,0,0,2
Sam Mraovich,Drama,2002,85,0.04000,0.04000,1.00000,0,0,7074,0,0,2
Orlando Corradi,Animation,1999,84,0.00100,0.00000,0.00000,0,0,2982,0,0,2
James Nguyen,Horror,2013,90,0.02000,0.00000,0.00000,0,0,3409,1,0,2
Sajid Khan,Comedy,2013,150,10.00000,0.27000,0.03000,0,2,6717,0,0,2
Bill Rebane,Horror,1965,70,0.00100,0.00000,0.00000,0,0,6381,0,0,2
Uwe Boll,Horror,2003,90,7.00000,10.20000,1.46000,0,2,33319,0,0,2.1
Don Michael Paul,Comedy,2007,93,7.00000,5.70000,0.81000,3,1,14057,0,0,2.1
Sajid Khan,Comedy,2014,159,11.00000,13.31000,1.21000,0,0,6430,0,0,2.2
Rick Sloane,Horror,1988,88,0.01500,0.00000,0.00000,1,0,8926,0,0,2.2
Coleman Francis,Horror,1961,54,0.03400,0.00000,0.00000,0,0,6782,0,0,2.2
Vondie Curtis Hall,Drama,2001,104,22.00000,5.30000,0.24000,2,3,20034,0,0,2.2
Lawrence Guterman,Comedy,2005,94,84.00000,57.60000,0.69000,3,7,44630,1,0,2.2
Preston A. Whitmore II,Action,2006,95,5.80000,7.00000,1.21000,2,0,8820,0,0,2.2
David Winters,Adventure,1988,91,0.00100,0.00000,0.00000,0,0,5955,0,0,2.2
Coleman Francis,Adventure,1966,89,0.03000,0.00000,0.00000,0,0,5959,0,0,2.3
Juan Piquer Simon,Sci-Fi,1983,80,0.00100,0.00000,0.00000,0,0,3974,0,0,2.3
Darrell Roodt,Horror,2004,86,0.00100,0.00000,0.00000,1,0,5328,0,0,2.3
Jerry Warren,Action,1966,70,0.00100,0.00000,0.00000,0,0,4003,0,0,2.3
Joel Silverman,Comedy,2006,87,5.00000,0.00000,0.00000,0,0,4713,0,0,2.3
Tony Leondis,Animation,2017,86,50.00000,204.30000,4.09000,12,0,24886,0,0,2.3
Gus Trikonis,Action,1969,82,0.00100,0.00000,0.00000,0,0,1543,0,0,2.3
Will Zens,Drama,1964,78,0.00100,0.00000,0.00000,0,0,3102,0,0,2.3
Jason Friedberg,Comedy,2007,86,20.00000,78.90000,3.95000,10,2,93607,0,0,2.3
Uwe Boll,Horror,2005,96,20.00000,5.20000,0.26000,2,5,38911,0,0,2.4
Paul Weiland,Action,1987,85,24.00000,4.90000,0.20000,1,3,7394,0,0,2.4
Greydon Clark,Action,1985,90,6.00000,11.00000,1.83000,0,0,2828,0,0,2.4
Peter Horak,Horror,1988,88,0.00100,0.00000,0.00000,0,0,3131,0,0,2.4
Faruk Aksoy,Comedy,2007,100,0.00100,0.00000,0.00000,0,0,3096,0,0,2.4
Antoni Krauze,Thriller,2016,120,3.00000,2.30000,0.77000,0,0,6948,0,0,2.4
Nicholas Merriwether,Comedy,1962,90,0.01500,0.00000,0.00000,1,0,4919,0,0,2.4
Umesh,Comedy,2016,124,4.30000,6.45000,1.50000,0,0,3504,1,0,2.4
Frederic Auburtin,Drama,2014,110,25.00000,0.17500,0.01000,3,1,3627,0,0,2.4
Martin Brest,Crime,2003,121,54.00000,6.10000,0.11000,5,12,42923,0,0,2.4
Alberto De Martino,Action,1980,90,0.00100,0.00000,0.00000,0,0,3709,0,0,2.5
Ugo Fabrizio Giordani,Comedy,2005,97,0.00100,0.00000,0.00000,0,0,4489,0,0,2.5
Matthew Diamond,Adventure,2012,88,5.00000,1.10000,0.22000,5,0,14452,0,0,2.5
Lisa France,Drama,2003,91,0.00100,0.00000,0.00000,0,4,3585,0,0,2.5
Roger Christian,Sci-Fi,2000,118,73.00000,8.30000,0.11000,2,19,68285,0,0,2.5
Richard Ashe,Sci-Fi,1976,90,0.00100,0.00000,0.00000,0,0,3080,0,0,2.5
Koji Ota,Sci-Fi,1961,74,0.00100,0.00000,0.00000,0,0,2276,0,0,2.5
Ray Dennis Steckler,Horror,1964,82,0.03800,0.00000,0.00000,0,0,4270,0,0,2.5
Coleman Francis,Drama,1963,75,0.00100,0.00000,0.00000,0,0,4493,0,0,2.5
Ted V. Mikels,Crime,1968,94,0.00100,0.00000,0.00000,0,0,3300,0,0,2.5
Don Barton,Horror,1971,100,0.07500,0.00000,0.00000,0,0,4255,0,0,2.5
Alex Zamm,Comedy,1998,92,10.00000,0.31000,0.03000,2,0,5360,0,0,2.5
Bill Cowell,Horror,2004,100,0.00100,0.00000,0.00000,0,1,2559,0,0,2.5
Farhad Mann,Sci-Fi,1996,93,15.00000,2.40000,0.16000,0,0,8338,0,0,2.5
Don Henderson,Horror,1971,90,0.00100,0.00000,0.00000,0,0,2477,0,0,2.5
Bob Clark,Comedy,1999,97,12.00000,36.30000,3.03000,4,1,21239,0,0,2.6
Michael Rissi,Horror,1990,94,0.24200,0.23300,0.96000,0,1,3354,0,0,2.6
David Hills,Adventure,1984,92,0.00100,0.00000,0.00000,0,0,3142,0,0,2.6
E. Wakabayashi,Sci-Fi,1959,121,0.00100,0.00000,0.00000,0,0,2558,0,0,2.6
Craig Moss,Comedy,2012,82,0.00100,0.00000,0.00000,0,0,3995,0,0,2.6
Lee Sholem,Musical,1967,84,0.00100,0.00000,0.00000,0,0,1561,0,0,2.6
Kevin Elders,Action,1999,85,10.00000,0.29200,0.03000,2,1,6199,0,0,2.6
Nicholas Webster,Adventure,1964,81,0.20000,0.00000,0.00000,0,0,9447,0,0,2.6
John Murlowski,Comedy,1996,97,0.00100,0.22000,220.00000,3,0,8072,0,0,2.6
Aune Sude,Romance,1995,70,0.03700,0.00000,0.00000,0,0,2891,0,0,2.6
Farah Khan,Comedy,2010,135,4.20000,1.10000,0.26000,0,4,9141,0,0,2.6
Charles B. Pierce,Adventure,1984,91,0.00100,0.00000,0.00000,0,0,2886,1,0,2.6
Ed Bye,Comedy,2004,75,0.00100,0.00000,0.00000,0,0,3674,0,0,2.6
Jack Brayman,Horror,1987,89,0.18000,0.00000,0.00000,2,0,2657,0,0,2.7
Bill Fishman,Comedy,1994,89,10.70000,1.20000,0.11000,3,2,4025,0,0,2.7
James Wong,Action,2009,85,30.00000,57.50000,1.92000,0,0,61009,0,0,2.7
Jaime Nolan,Horror,1960,89,0.00100,0.00000,0.00000,0,0,3237,0,0,2.7
Johanthan Betuel,Comedy,1995,92,33.50000,0.00000,0.00000,2,2,3468,0,0,2.7
Andrew V. McLaglen,Action,1975,97,0.00100,0.00000,0.00000,0,0,3943,0,0,2.7
Rafael Portillo,Adventure,1958,65,0.00100,0.00000,0.00000,0,0,1979,0,0,2.7
Rene Cardona,Comedy,1959,94,0.00100,0.00000,0.00000,0,1,3981,0,0,2.7
David Hillenbrand,Thriller,2002,85,0.00100,0.00000,0.00000,2,0,3682,0,0,2.7
Bill Couturie,Comedy,1996,94,24.00000,6.30000,0.26000,1,0,7513,0,0,2.7
Michael Rae,Horror,1978,85,0.00100,0.00000,0.00000,1,0,4829,0,0,2.7
David Giancola,Sci-Fi,1994,89,0.15000,0.00000,0.00000,0,1,2806,0,0,2.7
Kapser Wedendahl,Comedy,1997,79,0.00100,0.00000,0.00000,0,0,2359,0,0,2.7
Lamberto Bava,Horror,1984,90,0.00100,0.00000,0.00000,0,0,2667,0,0,2.7
Sam Newfield,Drama,1944,68,0.00100,0.00000,0.00000,0,0,2499,0,0,2.7
Adam Bernstein,Comedy,1994,77,8.00000,0.06000,0.01000,3,1,8855,0,0,2.7
Jason Friedberg,Comedy,2008,86,30.00000,84.40000,2.81000,3,0,92998,0,0,2.7
